KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
K01693.01,FALSE POSITIVE,3.403743926,137.232574,1.075,1.5017,815.9,10.77,1101.0,346.98,59.5,5596.0,4.533,0.853,293.25916,42.126629,14.98
K01700.01,CONFIRMED,8.03753796,139.3582,0.821,2.9118,286.5,1.54,744.0,72.44,31.1,5044.0,4.511,0.804,297.13263,42.76825,14.471
K01701.01,FALSE POSITIVE,2.43902575,133.58474,0.483,1.1598,82.5,2.61,2307.0,6700.04,20.5,6546.0,3.817,2.784,297.51907,42.777061,11.041
K01476.01,CONFIRMED,56.3587987,222.31819,0.906,6.927,2559.6,5.04,419.0,7.29,44.4,5446.0,4.525,0.821,290.85413,51.222809,15.792
K00172.02,CONFIRMED,242.467406,150.85827,0.173,12.808,340.3,1.73,286.0,1.59,23.2,5637.0,4.399,0.943,293.26093,44.868889,13.749
K01478.01,CONFIRMED,76.13622222,199.476237,0.044,7.9393,2949.5,4.78,399.0,6.01,339.4,5591.0,4.494,0.892,288.84863,51.209049,12.45
K01479.01,FALSE POSITIVE,4.9883872,358.2335,0.939,9.142,638.2,2.59,990.0,227.27,52.9,5819.0,4.565,0.823,296.43814,46.61536,15.752
K01542.01,FALSE POSITIVE,2.586878667,133.817008,0.651,6.1614,25480.0,19.84,1666.0,1823.52,261.3,6812.0,4.343,1.172,296.87762,43.941631,12.897
K01543.01,FALSE POSITIVE,3.964333304,136.029542,0.094,4.7136,25886.0,37.09,1680.0,1881.78,408.5,5758.0,3.808,2.318,290.44736,40.44289,14.985
K01544.01,FALSE POSITIVE,1.525924389,355.479571,1.217,3.15998,24627.0,49.86,1722.0,2072.8,423.9,6203.0,4.427,1.06,295.32077,40.187359,15.063
K01545.01,FALSE POSITIVE,5.910371418,360.2852478,0.065,3.88962,17219.0,12.62,1053.0,290.83,990.3,6200.0,4.488,0.958,293.83688,40.41045,15.169
K01596.01,CONFIRMED,5.92365747,134.68361,0.045,2.6302,406.5,0.99,531.0,18.87,26.4,3883.0,4.762,0.496,297.50986,46.961262,15.157
K01596.02,CONFIRMED,105.3582299,138.68069,0.75,3.81,1210.2,1.87,204.0,0.41,22.6,3883.0,4.762,0.496,297.50986,46.961262,15.157
K00186.01,CONFIRMED,3.24325988,133.6690203,0.117,3.03318,16451.0,12.91,1243.0,563.17,1586.2,5823.0,4.438,1.013,294.99631,50.470058,14.952
K01598.01,CONFIRMED,56.4758069,143.81128,0.862,5.961,1091.8,3.22,417.0,7.14,70.0,5497.0,4.57,0.839,288.83936,46.98674,14.279
K01598.02,CONFIRMED,92.8747294,145.93535,0.917,7.474,658.8,2.64,353.0,3.68,37.9,5497.0,4.57,0.839,288.83936,46.98674,14.279
K01702.01,CONFIRMED,1.538180949,131.822823,0.932,1.2635,841.0,1.0,602.0,30.85,47.7,3364.0,4.978,0.274,297.72925,42.86692,15.722
K01704.01,CONFIRMED,10.4188915,137.74971,0.856,3.0069,670.0,3.17,855.0,126.48,42.1,5692.0,4.36,1.064,298.01443,42.957458,14.86
K01705.01,CONFIRMED,20.4998763,131.82068,0.943,6.501,437.8,2.8,731.0,67.67,21.1,6249.0,4.428,1.076,290.32651,43.12183,15.442
K01706.01,CONFIRMED,1.921437488,131.806204,0.919,1.9046,278.7,1.77,1276.0,626.79,56.7,5238.0,4.472,0.851,296.95206,43.271969,14.131
K01707.01,CONFIRMED,96.109323,187.699,0.948,9.877,982.3,4.01,409.0,6.59,28.7,5792.0,4.375,1.005,298.0231,43.363522,15.321
K01480.01,CONFIRMED,20.38174802,142.31499,0.295,3.7922,1597.1,3.16,528.0,18.36,46.8,4883.0,4.515,0.808,286.74188,43.190102,15.887
K01481.01,CONFIRMED,5.101375725,357.48217,0.027,2.595,894.6,2.84,1050.0,287.28,55.1,5869.0,4.479,0.954,295.57727,46.254742,15.455
K01482.01,FALSE POSITIVE,17.7940049,365.34666,3.72,4.091,879.4,312.48,762.0,79.54,27.7,6273.0,4.442,1.044,288.02271,43.54821,15.378
K01484.01,FALSE POSITIVE,3.47021401,356.09943,0.076,2.289,1105.2,2.4,933.0,179.02,8.3,4922.0,4.555,0.744,290.61679,49.957619,15.305
K01548.01,FALSE POSITIVE,2.139325409,135.062261,1.019,2.8056,6897.8,11.61,1007.0,243.34,164.4,4765.0,4.642,0.666,286.25644,46.89267,14.708
K00179.02,CONFIRMED,572.376632,306.51006,0.712,24.42,1743.4,5.8,264.0,1.15,78.6,6226.0,4.264,1.299,297.04541,46.328701,13.955
K01550.01,FALSE POSITIVE,2.233799622,134.720709,1.249,3.04,2658.5,28.63,1287.0,650.73,228.9,5741.0,4.555,0.846,296.36569,43.905571,15.195
K01551.01,FALSE POSITIVE,31.13862664,415.9492,0.889,5.2482,11427.0,12.88,582.0,27.22,163.7,5919.0,4.485,1.0,290.56668,40.678162,15.821
K01598.03,CONFIRMED,13.93068791,134.42851,0.912,2.312,186.5,1.4,665.0,46.19,14.9,5497.0,4.57,0.839,288.83936,46.98674,14.279
K01599.01,CONFIRMED,20.4074846,140.1821,0.986,8.839,363.4,2.9,660.0,44.8,24.5,5823.0,4.472,0.972,298.37384,40.61842,14.802
K01600.01,FALSE POSITIVE,12.36564669,140.92029,1.22,3.644,388.4,24.89,804.0,98.51,22.8,6075.0,4.495,0.952,297.84399,39.989811,14.59
K01601.01,CONFIRMED,10.35078415,133.71163,0.79,6.253,273.1,1.97,842.0,119.01,36.5,5534.0,4.338,1.08,288.77103,40.664181,14.659
K01601.02,CONFIRMED,62.9224936,151.6882,0.928,11.64,417.8,2.75,462.0,10.73,28.7,5534.0,4.338,1.08,288.77103,40.664181,14.659
K00191.04,CONFIRMED,38.6520796,164.04455,0.038,5.607,566.5,2.07,487.0,13.28,24.8,5422.0,4.484,0.887,295.28723,41.221958,14.991
K01710.01,CONFIRMED,14.20442616,142.7332,0.011,3.898,800.6,1.9,602.0,31.1,26.7,5350.0,4.647,0.678,289.56866,43.538609,15.469
K01711.01,CONFIRMED,55.673582,136.54906,0.274,3.778,765.1,2.19,384.0,5.16,22.7,4998.0,4.53,0.808,290.28845,43.755322,15.061
K01713.01,CONFIRMED,6.82778157,131.78839,0.336,2.3726,545.8,1.34,577.0,26.31,32.2,4198.0,4.689,0.574,290.82602,44.184109,15.224
K01485.01,FALSE POSITIVE,0.687895191,133.66492,0.018,2.4233,462.5,1.35,1391.0,888.72,60.9,4478.0,4.615,0.651,282.17941,46.457169,15.657
K01486.01,CONFIRMED,127.2824442,163.89,0.827,7.1545,8088.6,12.04,392.0,5.61,148.1,5733.0,4.281,1.183,294.31699,43.629341,15.505
K00173.01,CONFIRMED,10.06083238,138.96723,0.672,4.5718,460.2,2.58,899.0,154.16,86.4,5705.0,4.297,1.14,291.90704,49.262051,13.844
K01486.02,CONFIRMED,30.1837021,146.64675,0.011,5.879,974.9,3.65,634.0,38.2,37.9,5733.0,4.281,1.183,294.31699,43.629341,15.505
K01487.01,FALSE POSITIVE,2.92928244,133.72275,1.14,6.794,268.6,38.42,2112.0,4706.45,39.2,6634.0,3.831,2.251,292.07269,50.54829,12.674
K01553.01,CONFIRMED,52.75878505,156.306351,0.344,6.6517,5805.8,8.76,540.0,20.08,265.4,6228.0,4.413,1.137,288.43576,43.763489,15.182
